group	subgroup	cong	location	vacant	founded	building1st	whenorganized	year1n	memb1	year2n	memb2	year3n	memb3	year4n	memb4	year5n	memb5	year6n	memb6	year7n	memb7	year8n	memb8	year9	gps1	gps2	casenum	organizationdate	memborganize	parentchurch	year1	year2	year3	year4	year5	year6	year7	year8
Breth	COB	Linville Creek	Rockingham		1828			1925	236	1950	404	1975	325	1999	210	2002	214	2018	186						38.603961	-78.790357	14	1844			1925/236	1950/404	1975/325	1999/210	2002/214	2018/186		
Breth	COB	Mill Creek	Rockingham		1840			1925	600	1950	796	1975	474	2002	426	2018	406								38.337044	-78.819324	15	1840	14		1925/600	1950/796	1975/474	2002/426	2018/406			
Breth	COB	Montezuma	Rockingham		1913			1913	8	1950	185	1960	240	1971	361	1975	400	2002	325	2018	265				38.40919	-78.961782	16	1962	264		1913/8	1950/185	1960/240	1971/361	1975/400	2002/325	2018/265	
Breth	COB	Mountain Grove	Rockingham		1877			1962	272	1975	269	2002	257	2018	370										38.640729	-78.927733	17	1959	272	Brocks Gap	1962/272	1975/269	2002/257	2018/370				
Breth	COB	Mount Bethel	Rockingham		1912			1965	223	1975	208	2002	286	2018	155										38.471174	-79.019744	18	1962			1965/223	1975/208	2002/286	2018/155				
Breth	COB	Mount Olivet	Rockingham		1874			1959	199	1975	172	2002	156	2018	97										38.680447	-78.81732	19	1958	199	Timberville	1959/199	1975/172	2002/156	2018/97				
Breth	COB	Mount Zion-Linville	Rockingham		1895			1975	47	1999	69	2018	100												38.574275	-78.88805	20	1967	157		1975/47	1999/69	2018/100					
Breth	COB	Pine Grove	Rockingham		1850			1980	97	1999	74	2002	44	2018	35										38.536438	-78.801462	21	1976	94		1980/97	1999/74	2002/44	2018/35				
Breth	COB	Timberville	Rockingham		1879			1925	267	1950	460	1958	359	1975	298	2002	228	2018	220						38.639647	-78.771342	22	1910	85	Flat Rock	1925/267	1950/460	1958/359	1975/298	2002/228	2018/220		
Breth	COB	Knights Chapel	Albemarle		1940			1975	33	2002	52	2018	77												38.153705	-78.281562	23	1980		Eastern Mt. Carmel	1975/33	2002/52	2018/77					
Breth	COB	Selma	Allegheny		1916			1925	144	1950	131	1975	29	2002	23	2018	26								37.805111	-79.850151	24	1914	20		1925/144	1950/131	1975/29	2002/23	2018/26			
Breth	COB	Chimney Run	Bath		1909			1925	36	1950	124	1975	102	2002	139	2018	139								38.056514	-79.806163	25	1914			1925/36	1950/124	1975/102	2002/139	2018/139			
Breth	COB	Jeters Chapel	Bedford		1890			1925	25	1950	147	1975	149	2002	85	2018	107								37.31664	-79.809801	26	1875	20		1925/25	1950/147	1975/149	2002/85	2018/107			
Breth	COB	Blue Ridge	Botetourt		1887			1950	203	1975	201	1999	162	2002	83	2018	76								37.384995	-79.797533	27	1946	200	Valley/Cloverdale	1950/203	1975/201	1999/162	2002/83	2018/76			
Breth	FGB	First Brethren, B. V.	Buena Vista		1890																				37.743483	-79.350484	28	1890										
Breth	COB	Coulson	Carroll		1898			1925	50	1950	120	1975	252	2002	377	2018	214								36.768837	-80.845888	29	1898			1925/50	1950/120	1975/252	2002/377	2018/214			
Breth	FGB	Covington	Covington		1936			1982	200																37.759599	-79.987898	30	1934	52		1982/200							
Breth	BC	Gatewood	Fayette Co. WV		1915			1950	76	1975	28	1980	22	1999	10										38.043289	-81.097513	31	1909			1950/76	1975/28	1980/22	1999/10				
